"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @CRUKMarlow: Come  in on the  19th of October,  try our home made cakes, #starbucks coffee, tea and lots more,and help us save lives by…",FALSE,0,NA,2019-10-14 15:28:36,FALSE,NA,"1183766562001637376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PerksSammy",4,TRUE,FALSE,NA,NA
"Want to #win $50 in an #Amazon gift card, #Starbucks gift card, or #Paypal cash? Enter to win the Hello Fall… https://t.co/A6mgb9wTjB",FALSE,0,NA,2019-10-14 15:28:01,TRUE,NA,"1183766415993659392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","saleago",0,FALSE,FALSE,NA,NA
"Does this count as a coffee drinker? If so, I finally <U+2764><U+FE0F> coffee!
#starbucks #mocha #chilledcoffee… https://t.co/ZmQTbFUDyZ",FALSE,1,NA,2019-10-14 15:20:56,TRUE,NA,"1183764634676932609",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","jevanshandmade1",0,FALSE,FALSE,NA,NA
"Ate and drank a few things this weekend!! #disneyland #disneycaliforniaadventure #greenmilk #churro #cakepop… https://t.co/8Wd9UaryqF",FALSE,2,NA,2019-10-14 15:20:19,TRUE,NA,"1183764478732701696",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","StephensLeah",1,FALSE,FALSE,NA,NA
"RT @aprioricat: At Starbucks wonderland<U+0001F3A1><U+0001F3A0>
<U+30FC><U+30FC><U+30FC>
#starbucks #starbuckscoffee #coffee #<U+30B9><U+30BF><U+30D0> #<U+30B3><U+30FC><U+30D2><U+30FC> #<U+30B9><U+30BF><U+30FC><U+30D0><U+30C3><U+30AF><U+30B9> … https://t.co/HIwZPpplU6 https://t.c…",FALSE,0,NA,2019-10-14 15:18:16,FALSE,NA,"1183763963294572544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jrcimages",1,TRUE,FALSE,NA,NA
"@Starbucks Where is my Physical gold card? @StarbucksIndia @Starbucks @starbuckshelp 

#Starbucks",FALSE,0,"Starbucks",2019-10-14 15:16:14,FALSE,"1183760820666134529","1183763451967000576","30973","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wadhwaabhinav",0,FALSE,FALSE,NA,NA
"RT @MrsIvyStorm: Good Morning world <U+0001F30E>, love the feeling of early morning gaming without any interruptions...let the gaming commence <U+0001F3AE><U+0001F3AE><U+0001F3AE><U+0001F3A7><U+0001F3A7><U+0001F3A7>…",FALSE,0,NA,2019-10-14 15:14:06,FALSE,NA,"1183762911757504513",NA,"<a href=""https://solbot.weebly.com/"" rel=""nofollow"">Solbot Tweet</a>","SolbotEnergyRsh",1,TRUE,FALSE,NA,NA
"Anyone know how to make these kind of active images/.gifs? I want to learn!!!
#starbucks #psl #pumpkinspicelatte https://t.co/J8EHasR6uY",FALSE,1,NA,2019-10-14 15:08:45,FALSE,NA,"1183761565343989762",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JacobRandHolmes",0,FALSE,FALSE,NA,NA
"Enter to #win $50 in an #Amazon gift card, #Starbucks gift card, or #Paypal cash in the Hello Fall #Giveaway at @ S… https://t.co/s3F3Hyvqpy",FALSE,0,NA,2019-10-14 15:07:56,TRUE,NA,"1183761361655885824",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cshell202",0,FALSE,FALSE,NA,NA
"The ONLY way to start a #monday <U+0001F602><U+2615><U+FE0F> #puppachino #pupaccino #greatdane #greatdanes #greatdanesofig #mondaymotivation… https://t.co/xgsY4VUyAa",FALSE,0,NA,2019-10-14 15:06:58,TRUE,NA,"1183761120223485952",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","tishatcasida",0,FALSE,FALSE,NA,NA
