Player,Pos,Height,Weight,Birthdate,Country,Experience,College,Salary,Age,Height_cm,College,Player_2
clint capela,C,10-Jun,240,34472,ch,0,,1189200,20,208.28,,"Capela, Clint"
demarre carroll,SF,8-Jun,215,31620,us,5,"Vanderbilt, Missouri",2442455,28,203.2,Vanderbilt,"Carroll, DeMarre"
vince carter,SG,6-Jun,220,28151,us,16,UNC,3911981,37,198.12,UNC,"Carter, Vince"
michael carter-williams,PG,6-Jun,190,33521,us,1,Syracuse,2300040,22,198.12,Syracuse,"Carter-Williams, Michael"
omri casspi,SF,9-Jun,225,32316,il,5,,1063384,26,205.74,,"Casspi, Omri"
mario chalmers,PG,2-Jun,190,31551,us,6,Kansas,4000000,28,187.96,Kansas,"Chalmers, Mario"
tyson chandler,C,1-Jul,240,30226,us,13,,14598888,31,215.9,,"Chandler, Tyson"
wilson chandler,SF,9-Jun,225,31907,us,7,DePaul,6757913,27,205.74,DePaul,"Chandler, Wilson"
will cherry,PG,Jun-00,185,33277,us,0,University of Montana,25000,23,182.88,University of Montana,"Cherry, Will"
patrick christopher,SG,5-Jun,209,32297,us,0,Cal,0,26,195.58,Cal,"Christopher, Patrick"
earl clark,PF,10-Jun,225,32159,us,5,Louisville,62552,26,208.28,Louisville,"Clark, Earl"
ian clark,SG,3-Jun,175,33304,us,1,Belmont,816482,23,190.5,Belmont,"Clark, Ian"
jordan clarkson,PG,5-Jun,194,33762,us,0,"Tulsa, Missouri",507336,22,195.58,Tulsa,"Clarkson, Jordan"
victor claver,SF,9-Jun,224,32385,es,2,,1370000,26,205.74,,"Claver, Victor"
norris cole,PG,2-Jun,175,32429,us,3,Cleveland State University,2038206,25,187.96,Cleveland State University,"Cole, Norris"
darren collison,PG,Jun-00,175,32012,us,5,UCLA,4797664,27,182.88,UCLA,"Collison, Darren"
nick collison,PF,10-Jun,255,29520,us,10,Kansas,2242003,33,208.28,Kansas,"Collison, Nick"
mike conley,PG,1-Jun,175,32061,us,7,Ohio State,8894216,26,185.42,Ohio State,"Conley, Mike"
jack cooley,C,9-Jun,260,33332,us,0,Notre Dame,187357,23,205.74,Notre Dame,"Cooley, Jack"
chris copeland,SF,9-Jun,239,30758,us,2,Colorado,3135000,30,205.74,Colorado,"Copeland, Chris"
bryce cotton,PG,1-Jun,165,33827,us,0,Providence,50000,22,185.42,Providence,"Cotton, Bryce"
demarcus cousins,C,11-Jun,270,33098,us,4,Kentucky,13701250,24,210.82,Kentucky,"Cousins, DeMarcus"
robert covington,SF,9-Jun,225,33221,us,1,Tennessee State,150000,23,205.74,Tennessee State,"Covington, Robert"
alan crabbe,SG,6-Jun,212,33703,us,1,Cal,862000,22,198.12,Cal,"Crabbe, Allen"
jamal crawford,SG,5-Jun,185,29300,us,14,Michigan,5450000,34,195.58,Michigan,"Crawford, Jamal"
jae crowder,SF,6-Jun,235,33060,us,2,Marquette,915243,24,198.12,Marquette,"Crowder, Jae"
dante cunningham,PF,8-Jun,230,31889,us,5,Villanova,831942,27,203.2,Villanova,"Cunningham, Dante"
jared cunningham,SG,4-Jun,195,33380,us,2,Oregon State,0,23,193.04,Oregon State,"Cunningham, Jared"
seth curry,PG,2-Jun,185,33108,us,1,"Liberty, Duke",100000,24,187.96,Liberty,"Curry, Seth"
stephen curry,PG,3-Jun,190,32216,us,5,Davidson,10629213,26,190.5,Davidson,"Curry, Stephen"
samuel dalembert,C,11-Jun,255,29716,ht,12,Seton Hall,3867282,33,210.82,Seton Hall,"Dalembert, Samuel"
troy daniels,SG,4-Jun,205,33434,us,1,Virginia Commonwealth,816482,23,193.04,Virginia Commonwealth,"Daniels, Troy"
luigi datome,SF,8-Jun,215,32108,it,1,,1750000,26,203.2,,"Datome, Gigi"
brandon davies,PF,10-Jun,240,33444,us,1,BYU,0,23,208.28,BYU,"Davies, Brandon"
anthony davis,PF,10-Jun,253,34039,us,2,Kentucky,5607240,21,208.28,Kentucky,"Davis, Anthony"
ed davis,PF,10-Jun,225,32664,us,4,UNC,981084,25,208.28,UNC,"Davis, Ed"
glen davis,PF,9-Jun,289,31413,us,7,LSU,1227985,28,205.74,LSU,"Davis, Glen"
andre dawkins,SG,5-Jun,215,33500,us,0,Duke,59686,23,195.58,Duke,"Dawkins, Andre"
austin daye,SF,11-Jun,220,32299,us,5,Gonzaga,125104,26,210.82,Gonzaga,"Daye, Austin"
